Fecha,Último,Apertura,Máximo,Mínimo,Vol.,% var.
23.05.2022,"30.146,0","30.283,0","30.666,0","29.972,0","2,02K","-0,45%"
22.05.2022,"30.283,0","29.439,0","30.466,0","29.253,0","2,68K","2,87%"
21.05.2022,"29.439,0","29.202,0","29.652,0","28.963,0","1,28K","0,81%"
20.05.2022,"29.202,0","30.329,0","30.764,0","28.713,0","3,94K","-3,72%"
19.05.2022,"30.329,0","28.680,0","30.542,0","28.673,0","4,49K","5,75%"
18.05.2022,"28.680,0","30.442,0","30.702,0","28.634,0","3,94K","-5,79%"
17.05.2022,"30.442,0","29.854,0","30.766,0","29.445,9","3,07K","1,97%"
16.05.2022,"29.854,0","31.318,0","31.324,1","29.083,0","4,52K","-4,68%"
15.05.2022,"31.319,0","30.104,0","31.416,0","29.483,0","2,74K","4,04%"
14.05.2022,"30.104,0","29.306,0","30.346,0","28.674,0","4,13K","2,72%"
13.05.2022,"29.306,0","29.089,5","31.068,0","28.831,0","8,72K","0,74%"
12.05.2022,"29.089,5","29.095,0","30.224,0","26.600,0","34,25K","-0,02%"
11.05.2022,"29.095,0","31.061,0","32.181,0","27.902,0","28,73K","-6,30%"
10.05.2022,"31.050,0","30.158,0","32.681,0","29.845,0","14,17K","2,96%"
09.05.2022,"30.158,0","34.064,0","34.259,0","30.114,0","21,24K","-11,52%"
08.05.2022,"34.084,0","35.506,0","35.540,0","33.779,0","6,58K","-4,01%"
07.05.2022,"35.508,0","36.040,0","36.163,0","34.879,0","3,78K","-1,48%"
06.05.2022,"36.040,0","36.577,0","36.684,0","35.315,0","7,60K","-1,47%"
05.05.2022,"36.577,0","39.701,2","39.843,0","36.209,0","9,74K","-7,87%"
04.05.2022,"39.701,2","37.751,0","39.996,0","37.695,0","5,26K","5,17%"
03.05.2022,"37.751,0","38.520,0","38.673,5","37.555,0","3,62K","-2,00%"
02.05.2022,"38.520,0","38.496,1","39.184,0","38.090,7","3,59K","0,06%"
01.05.2022,"38.496,1","37.662,0","38.689,0","37.426,0","3,06K","2,21%"
30.04.2022,"37.662,0","38.600,0","38.791,6","37.633,0","2,91K","-2,43%"
29.04.2022,"38.600,0","39.757,8","39.927,2","38.200,7","3,19K","-2,91%"
28.04.2022,"39.757,8","39.263,0","40.364,0","38.922,0","4,65K","1,26%"
27.04.2022,"39.263,0","38.139,0","39.478,0","37.901,0","4,20K","2,95%"
26.04.2022,"38.139,0","40.456,0","40.800,3","37.762,0","4,73K","-5,73%"
25.04.2022,"40.456,0","39.486,0","40.588,0","38.200,0","6,01K","2,46%"
24.04.2022,"39.486,0","39.444,0","39.949,0","38.963,0","2,19K","0,10%"
23.04.2022,"39.446,7","39.726,0","40.008,0","39.312,0","1,92K","-0,70%"
22.04.2022,"39.724,0","40.502,0","40.799,0","39.195,0","4,13K","-1,92%"
21.04.2022,"40.502,0","41.365,0","42.977,0","39.807,0","4,56K","-2,09%"
20.04.2022,"41.366,4","41.516,8","42.195,4","40.905,0","3,73K","-0,36%"
19.04.2022,"41.516,8","40.821,0","41.743,0","40.601,0","2,40K","1,70%"
18.04.2022,"40.821,0","39.707,6","41.123,2","38.557,0","4,99K","2,80%"
17.04.2022,"39.707,6","40.408,7","40.611,0","39.567,0","1,66K","-1,74%"
16.04.2022,"40.408,7","40.587,0","40.717,0","40.033,1","1,49K","-0,44%"
15.04.2022,"40.587,0","39.948,0","40.807,0","39.792,0","2,21K","1,60%"
14.04.2022,"39.948,0","41.155,0","41.510,3","39.604,0","3,17K","-2,93%"
13.04.2022,"41.155,0","40.088,0","41.540,0","39.607,0","4,57K","2,66%"
12.04.2022,"40.087,0","39.565,0","40.649,0","39.300,0","4,11K","1,32%"
11.04.2022,"39.565,0","42.181,0","42.437,0","39.274,0","6,70K","-6,20%"
10.04.2022,"42.181,0","42.780,0","43.460,0","41.933,0","3,03K","-1,40%"
09.04.2022,"42.780,0","42.277,0","42.824,0","42.137,0","1,92K","1,19%"
08.04.2022,"42.277,0","43.458,0","43.984,0","42.137,3","4,35K","-2,72%"
07.04.2022,"43.458,0","43.195,9","43.899,0","42.804,0","2,40K","0,60%"
06.04.2022,"43.199,0","45.481,0","45.515,1","43.162,0","5,84K","-5,02%"
05.04.2022,"45.481,0","46.611,1","47.173,0","45.376,0","2,59K","-2,42%"
04.04.2022,"46.611,1","46.383,0","46.900,0","45.128,0","3,45K","0,49%"
03.04.2022,"46.383,0","45.825,0","47.414,0","45.570,0","3,01K","1,22%"
02.04.2022,"45.825,0","46.301,0","47.216,0","45.640,0","2,27K","-1,03%"
01.04.2022,"46.301,0","45.535,0","46.717,0","44.245,9","3,96K","1,68%"
31.03.2022,"45.535,0","47.035,0","47.665,0","45.224,4","4,66K","-3,19%"
30.03.2022,"47.035,0","47.424,0","47.675,0","46.602,0","4,30K","-0,82%"
29.03.2022,"47.424,0","47.105,0","48.099,0","46.964,0","3,38K","0,68%"
28.03.2022,"47.105,0","46.836,0","48.159,0","46.666,0","6,38K","0,57%"
27.03.2022,"46.836,0","44.536,4","46.862,0","44.440,0","5,65K","5,16%"
26.03.2022,"44.536,4","44.337,0","44.785,0","44.112,7","1,31K","0,45%"
25.03.2022,"44.337,0","44.003,0","45.082,0","43.607,0","4,36K","0,76%"
24.03.2022,"44.003,0","42.885,0","44.221,0","42.670,0","3,78K","2,61%"
23.03.2022,"42.882,0","42.370,0","42.995,0","41.772,0","2,75K","1,21%"
22.03.2022,"42.370,0","41.011,0","43.319,0","40.886,0","5,00K","3,26%"
21.03.2022,"41.031,0","41.264,0","41.535,0","40.544,0","2,62K","-0,53%"
20.03.2022,"41.249,0","42.213,0","42.292,0","40.933,0","1,81K","-2,29%"
19.03.2022,"42.214,0","41.774,0","42.373,0","41.491,0","2,14K","1,05%"
18.03.2022,"41.774,0","40.942,6","42.333,0","40.236,0","3,77K","2,03%"
17.03.2022,"40.942,6","41.148,0","41.451,0","40.553,0","2,29K","-0,50%"
16.03.2022,"41.148,0","39.316,6","41.728,0","38.974,0","8,54K","4,66%"
15.03.2022,"39.317,0","39.717,9","39.886,9","38.212,0","5,30K","-1,01%"
14.03.2022,"39.717,0","37.777,1","39.977,0","37.570,0","8,05K","5,14%"
13.03.2022,"37.777,1","38.816,3","39.314,0","37.592,0","3,42K","-2,68%"
12.03.2022,"38.816,3","38.737,0","39.397,0","38.679,0","1,81K","0,20%"
11.03.2022,"38.737,0","39.458,5","40.228,0","38.236,4","9,57K","-1,83%"
10.03.2022,"39.458,5","41.964,0","42.069,0","38.646,0","6,67K","-5,97%"
09.03.2022,"41.962,3","38.757,0","42.593,0","38.692,5","5,96K","8,27%"
08.03.2022,"38.757,0","38.039,0","39.385,1","37.906,0","5,51K","1,89%"
07.03.2022,"38.039,0","38.437,0","39.559,0","37.198,0","6,78K","-1,04%"
06.03.2022,"38.437,0","39.408,0","39.715,0","38.151,0","3,37K","-2,46%"
05.03.2022,"39.408,0","39.171,0","39.628,0","38.680,0","2,19K","0,61%"
04.03.2022,"39.171,0","42.489,0","42.559,0","38.621,0","6,38K","-7,81%"
03.03.2022,"42.490,0","43.952,0","44.103,0","41.862,0","3,89K","-3,33%"
02.03.2022,"43.952,0","44.442,0","45.326,0","43.386,0","5,57K","-1,10%"
01.03.2022,"44.442,0","43.202,0","44.939,0","42.878,0","6,34K","2,87%"
28.02.2022,"43.202,0","37.734,0","44.198,0","37.502,0","8,45K","14,49%"
27.02.2022,"37.734,0","39.137,1","39.888,0","37.067,1","5,48K","-3,56%"
26.02.2022,"39.125,0","39.243,0","40.274,0","38.633,0","3,59K","-0,30%"
25.02.2022,"39.243,0","38.380,0","39.717,0","38.071,1","6,43K","2,25%"
24.02.2022,"38.380,0","37.292,0","39.716,0","34.435,0","17,88K","2,92%"
23.02.2022,"37.292,0","38.299,0","39.270,0","37.142,0","5,81K","-2,63%"
22.02.2022,"38.299,0","37.060,9","38.475,0","36.404,0","6,20K","3,36%"
21.02.2022,"37.054,0","38.420,0","39.531,0","36.829,0","8,51K","-3,56%"
20.02.2022,"38.420,0","40.128,0","40.164,1","38.071,0","3,53K","-4,29%"
19.02.2022,"40.141,0","40.037,0","40.478,0","39.683,0","1,46K","0,26%"
18.02.2022,"40.037,0","40.559,0","40.983,0","39.571,0","4,68K","-1,28%"
17.02.2022,"40.556,0","43.885,0","44.187,6","40.126,8","6,75K","-7,59%"
16.02.2022,"43.885,0","44.559,9","44.584,0","43.382,0","3,27K","-1,51%"
15.02.2022,"44.559,9","42.559,9","44.762,0","42.467,0","4,11K","4,70%"
14.02.2022,"42.559,9","42.091,0","42.852,0","41.608,0","4,78K","1,11%"
13.02.2022,"42.091,0","42.239,1","42.760,0","41.920,0","1,95K","-0,35%"
12.02.2022,"42.239,1","42.418,0","43.028,0","41.810,0","2,66K","-0,42%"
11.02.2022,"42.418,0","43.545,0","43.965,0","42.053,0","5,61K","-2,59%"
10.02.2022,"43.545,0","44.432,0","45.851,0","43.255,0","7,33K","-2,00%"
09.02.2022,"44.432,0","44.060,5","44.839,6","43.160,0","3,71K","0,84%"
08.02.2022,"44.060,5","43.865,0","45.400,0","42.713,0","7,62K","0,45%"
07.02.2022,"43.865,0","42.416,0","44.500,0","41.715,0","5,52K","3,40%"
06.02.2022,"42.423,0","41.454,0","42.730,0","41.171,0","2,36K","2,34%"
05.02.2022,"41.454,0","41.562,7","41.928,0","40.979,8","2,60K","-0,26%"
04.02.2022,"41.562,7","37.331,0","41.734,0","37.070,0","8,27K","11,34%"
03.02.2022,"37.331,0","36.925,0","37.395,0","36.282,0","5,03K","1,10%"
02.02.2022,"36.925,0","38.733,0","38.877,0","36.660,0","4,19K","-4,67%"
01.02.2022,"38.733,0","38.495,0","39.350,0","38.039,0","4,29K","0,54%"
31.01.2022,"38.526,0","37.914,4","38.772,1","36.683,0","4,77K","1,55%"
30.01.2022,"37.939,0","38.179,9","38.349,0","37.398,0","2,05K","-0,68%"
29.01.2022,"38.197,0","37.759,8","38.696,0","37.347,7","3,55K","1,16%"
28.01.2022,"37.759,8","37.217,0","38.041,0","36.197,0","4,58K","1,46%"
27.01.2022,"37.217,0","36.830,8","37.248,0","35.571,0","6,94K","1,05%"
26.01.2022,"36.830,8","36.986,0","38.901,0","36.301,0","10,65K","-0,44%"
25.01.2022,"36.994,0","36.702,0","37.545,0","35.759,0","8,86K","0,80%"
24.01.2022,"36.702,0","36.308,0","37.460,0","32.981,0","23,10K","1,09%"
23.01.2022,"36.308,0","35.103,0","36.550,0","34.687,3","8,72K","3,43%"
22.01.2022,"35.103,0","36.467,0","36.816,0","34.079,0","17,58K","-3,83%"
21.01.2022,"36.501,0","40.740,0","41.132,0","35.524,0","16,22K","-10,41%"
20.01.2022,"40.740,0","41.676,0","43.540,6","40.572,0","5,11K","-2,25%"
19.01.2022,"41.676,0","42.390,0","42.581,2","41.180,0","6,45K","-1,68%"
18.01.2022,"42.390,0","42.223,0","42.682,0","41.304,0","4,34K","0,35%"
17.01.2022,"42.242,0","43.084,0","43.191,0","41.568,0","2,92K","-1,95%"
16.01.2022,"43.084,0","43.069,0","43.487,0","42.611,8","1,58K","0,03%"
15.01.2022,"43.069,0","43.091,0","43.806,0","42.600,0","3,20K","-0,05%"
14.01.2022,"43.091,0","42.562,0","43.463,0","41.839,0","4,31K","1,24%"
13.01.2022,"42.562,0","43.909,0","44.426,7","42.334,0","3,74K","-3,07%"
12.01.2022,"43.909,0","42.743,0","44.305,0","42.475,0","3,77K","2,73%"
11.01.2022,"42.743,0","41.839,0","43.113,0","41.287,0","4,79K","2,16%"
10.01.2022,"41.839,0","41.850,0","42.270,0","39.677,0","9,55K","-0,03%"
09.01.2022,"41.850,0","41.679,0","42.790,0","41.275,0","3,72K","0,41%"
08.01.2022,"41.679,0","41.518,0","42.319,0","40.570,0","4,15K","0,39%"
07.01.2022,"41.518,0","43.111,0","43.132,0","40.755,0","7,40K","-3,70%"
06.01.2022,"43.111,0","43.418,0","43.777,0","42.487,0","3,41K","-0,71%"
05.01.2022,"43.418,0","45.830,0","47.056,7","42.519,0","6,93K","-5,26%"
04.01.2022,"45.830,0","46.445,0","47.546,0","45.583,0","3,79K","-1,32%"
03.01.2022,"46.445,0","47.314,0","47.578,0","45.701,0","2,58K","-1,84%"
02.01.2022,"47.314,0","47.755,0","47.980,0","46.698,0","1,84K","-0,92%"
01.01.2022,"47.755,0","46.218,0","47.954,0","46.215,0","2,18K","3,33%"
31.12.2021,"46.218,0","47.156,0","48.589,0","45.697,0","4,25K","-1,99%"
30.12.2021,"47.156,0","46.465,0","47.911,0","45.996,0","3,20K","1,49%"
29.12.2021,"46.465,0","47.554,0","48.166,0","46.129,0","4,12K","-2,29%"
28.12.2021,"47.554,0","50.684,0","50.710,0","47.339,0","5,43K","-6,18%"
27.12.2021,"50.684,0","50.797,0","52.027,0","50.483,0","3,52K","-0,22%"
26.12.2021,"50.797,0","50.435,2","51.281,0","49.473,0","2,90K","0,71%"
25.12.2021,"50.437,0","50.815,0","51.169,0","50.209,0","1,99K","-0,74%"
24.12.2021,"50.815,0","50.833,0","51.834,0","50.439,0","2,60K","0,01%"
23.12.2021,"50.812,0","48.626,0","51.376,0","48.078,0","4,43K","4,50%"
22.12.2021,"48.626,0","48.923,0","49.575,1","48.459,8","3,14K","-0,61%"
21.12.2021,"48.923,0","46.898,0","49.352,0","46.683,0","4,71K","4,32%"
20.12.2021,"46.898,0","46.716,5","47.541,0","45.606,0","5,65K","0,39%"
19.12.2021,"46.716,5","46.879,0","48.283,0","46.474,9","5,24K","-0,35%"
18.12.2021,"46.879,0","46.193,0","47.364,0","45.543,5","3,74K","1,49%"
17.12.2021,"46.193,0","47.675,0","48.028,8","45.539,0","5,86K","-3,11%"
16.12.2021,"47.675,0","48.901,0","49.462,1","47.561,0","3,53K","-2,51%"
15.12.2021,"48.901,0","48.408,0","49.520,0","46.602,0","7,04K","1,02%"
14.12.2021,"48.408,0","46.777,0","48.656,0","46.356,2","5,48K","3,49%"
13.12.2021,"46.777,0","50.123,0","50.222,7","45.790,0","8,71K","-6,68%"
12.12.2021,"50.123,0","49.363,1","50.800,0","48.692,0","3,87K","1,54%"
11.12.2021,"49.363,1","47.170,0","49.510,0","46.897,0","5,29K","4,65%"
10.12.2021,"47.170,0","47.611,0","50.105,0","47.060,0","8,17K","-0,93%"
09.12.2021,"47.611,0","50.503,4","50.824,0","47.408,0","5,28K","-5,73%"
08.12.2021,"50.503,4","50.634,0","51.239,0","48.760,0","4,03K","-0,26%"
07.12.2021,"50.634,0","50.566,6","51.969,0","50.102,0","3,91K","0,13%"
06.12.2021,"50.566,6","49.469,0","50.974,0","47.295,0","8,05K","2,22%"
05.12.2021,"49.469,0","49.272,0","49.752,0","47.860,0","4,78K","0,40%"
04.12.2021,"49.272,0","53.709,0","53.879,0","42.101,0","22,58K","-8,26%"
03.12.2021,"53.709,0","56.517,0","57.599,0","52.062,0","10,73K","-4,97%"
02.12.2021,"56.517,0","57.250,0","57.389,0","55.842,0","4,41K","-1,28%"
01.12.2021,"57.250,0","56.938,0","59.055,0","56.505,0","5,18K","0,55%"
30.11.2021,"56.938,0","57.845,0","59.174,0","55.940,0","6,47K","-1,57%"
29.11.2021,"57.845,0","57.325,0","58.886,0","56.772,0","5,07K","0,91%"
28.11.2021,"57.325,0","54.836,0","57.469,0","53.482,0","4,94K","4,54%"
27.11.2021,"54.836,0","53.738,0","55.329,0","53.711,0","3,09K","2,04%"
26.11.2021,"53.738,0","58.995,0","59.229,0","53.565,0","12,19K","-8,91%"
25.11.2021,"58.995,0","57.209,0","59.423,4","57.070,0","3,98K","3,12%"
24.11.2021,"57.209,0","57.602,0","57.762,0","55.916,9","4,89K","-0,68%"
23.11.2021,"57.602,0","56.299,0","57.866,2","55.460,0","8,56K","2,31%"
22.11.2021,"56.299,0","58.790,0","59.407,0","55.714,0","8,83K","-4,24%"
21.11.2021,"58.790,0","59.739,0","60.047,0","58.624,0","2,44K","-1,59%"
20.11.2021,"59.739,0","58.130,0","59.886,0","57.494,4","3,13K","2,77%"
19.11.2021,"58.130,0","56.932,0","58.379,0","55.670,0","5,18K","1,96%"
18.11.2021,"57.014,0","60.386,1","60.945,0","56.559,0","11,54K","-5,58%"
17.11.2021,"60.386,1","60.124,0","60.847,0","58.427,0","6,72K","0,44%"
16.11.2021,"60.124,0","63.562,0","63.562,0","58.708,0","13,07K","-5,41%"
15.11.2021,"63.562,0","65.471,0","66.320,0","63.383,3","5,27K","-2,92%"
14.11.2021,"65.471,0","64.406,0","65.471,0","63.589,0","2,19K","1,65%"
13.11.2021,"64.406,0","64.137,0","64.968,2","63.405,0","1,87K","0,39%"
